GLN_GUNCEL;BARKOD_GUNCEL;ADET;MF
8680001220465;8699546095100;30;0
8680001392452;8699546578078;1;0
8680001294558;8699546091959;1;0
8680001112265;8699546015597;20;1
8680001112265;8699546015634;1;0
8680001451814;8699546705795;20;1
8680001450046;8699546095131;1;0
8680001477135;8699546755141;1;0
8680001371143;8699546755141;1;0
8680001550326;8699546755141;1;0
8680001180776;8699546385492;5;0
8680001199389;8699546755141;1;0
8680001524761;8699546755141;1;0
8680001623242;8699546755141;2;0
8680001439621;8699546370429;5;0
8680001346837;8699546095100;5;0
8680001428939;8699546015610;3;0
8680001428939;8699546015597;20;1
8680001654215;8699546358830;2;0
8680001654215;8699546358694;4;0
8680001654215;8699546370412;5;0
8680001654215;8699546370429;5;0
8680001654215;8699546080045;12;1
8680001370252;8699546755141;1;0
8680001479917;8699546755141;1;0
8680001483662;8699546755141;3;0
8680001461769;8699546755141;6;0
8680001204427;8699546095131;1;0
8680001494682;8699546755141;2;0
8680001222117;8699546755141;1;0
8680001596294;8699546755141;1;0
8680001477135;8699546755141;1;0
8680001209095;8699546095131;1;0
8680001557967;8699546755141;3;0
8680001654215;8699546370580;2;0
8680001654215;8699546015634;3;0
8680001210237;8699546705757;2;0
8680001651894;8699546650057;1;0
8680001199150;8699546085767;20;1
8680001684069;8699546098248;5;0
8680001654215;8699546370382;5;0
8680001654215;8699546095131;1;0
8680001654215;8699546095100;40;0
8680001654215;8699546020478;1;0
8680001654215;8699546241231;1;0
8680001654215;8699546010011;20;0
8680001654215;8699546010028;20;0
8680001654215;8699546070879;10;0
8680001178643;8699546099429;10;0
8680001646364;8699546755141;2;0
8680001221424;8699546755141;2;0
8680001492923;8699546755141;2;0
8680001245628;8699546755141;2;0
8680001206179;8699546755141;4;0
8680001373161;8699546755141;3;0
8680001375554;8699546755141;4;0
8680001654215;8699546090426;1;0
8680001654215;8699546091959;5;0
8680001659562;8699546755141;2;0
8680001351473;8699546020447;1;0
8680001383276;8699546095131;1;0
8680001247875;8699546070879;2;0
8680001369874;8699546115198;10;0
8680001460939;8699546755714;2;0
8680001361403;8699546095131;1;0
8680001165032;8699546010011;25;0
8680001231973;8699546020393;4;0
8680001448135;8699546099429;10;0
8680001654215;8699546099429;100;0
8680001654215;8699546358632;2;0
8680001226412;8699546705801;2;0
8680001226412;8699546085767;20;1
8680001294893;8699546100354;2;0
8680001396993;8699546095131;1;0
8680001546329;8699546095131;1;0
8680001239016;8699546115198;3;0
8680001239016;8699546095131;1;0
8680001112265;8699546080274;1;0
8680001426645;8699546358625;2;0
8680001247004;8699546098248;2;0
8680001495412;8699546085767;2;0
8680001439065;8699546095131;1;0
8680001264032;8699546705795;20;1
8680001347773;8699546100354;1;0
8680001213962;8699546095131;1;0
8680001209705;8699546115198;2;0
8680001189816;8699546095131;1;0
8680001221455;8699546085767;10;0
8680001221455;8699546015610;5;0
8680001221455;8699546015597;10;0
8680001207862;8699546575893;2;0
8680001177530;8699546015597;10;0
8680001298891;8699546575893;33;5
8680001654215;8699546100354;2;0
8680001294718;8699546085767;20;1
8680001112265;8699546755714;2;0
8680001396245;8699546385492;5;0
8680001304677;8699546080274;20;1
8680001154265;8699546095131;1;0
8680001260270;8699546020461;36;3
8680001214495;8699546095100;50;0
8680001214495;8699546385492;50;0
8680001502776;8699546080274;5;0
8680001112265;8699546350223;1;0
8680001112265;8699546355174;10;1
8680001631490;8699546755141;10;0
8680001271238;8699546010011;10;0
8680001471454;8699546705795;20;1
8680001208579;8699546080045;1;0
8680001285846;8699546099429;100;0
8680001285846;8699546095100;100;0
8680001129201;8699546095131;1;0
8680001150670;8699546705801;20;1
8680001150670;8699546705795;20;1
8680001178230;8699546370412;15;1
8680001178230;8699546370580;10;0
8680001178230;8699546370399;15;1
8680001178230;8699546358632;5;0
8680001178230;8699546355174;10;1
8680001520862;8699546085767;20;1
8680001520862;8699546010028;5;0
