TİCARİ BM;BÖLGE;ÜTE;DEPO GRUBU;DEPO ŞUBESİ;GLN;ECZANE ADI;İLÇE;İL;BARKOD;ÜRÜN ADI;ADET;MF
İsa Camgöz;ECZANE IST AND 1;DİLARA BAĞCIOĞLU;Selçuk;Ümraniye;8680001547166;Kozyatağı;Kadıköy;İstanbul;8699546578092;AspiNatura Cough SYRU SACH 10ml TR;1;0
İsa Camgöz;ECZANE IST AND 1;DİLARA BAĞCIOĞLU;Selçuk;Ümraniye;8680001547166;Kozyatağı;Kadıköy;İstanbul;8699546578108;AspiNatura Junior Cough SYRU SACH 5ml TR;1;0
İsa Camgöz;ECZANE IST AND 1;DİLARA BAĞCIOĞLU;Selçuk;Ümraniye;8680001547166;Kozyatağı;Kadıköy;İstanbul;8699546540020;ASPI NATURA İzotonik Burun Spreyi 3,5% SPH 20 ML TR;7;1
İsa Camgöz;ECZANE IST AND 1;DİLARA BAĞCIOĞLU;Selçuk;Ümraniye;8680001547166;Kozyatağı;Kadıköy;İstanbul;8699546578078;ASPINATURA Kids Cough Syrup 120ml Bottle;7;1
İsa Camgöz;ECZANE IST AND 1;DİLARA BAĞCIOĞLU;Selçuk;Ümraniye;8680001547166;Kozyatağı;Kadıköy;İstanbul;8699546370597;Bepanthol Baby Pişik Önleyici Merhem 100gr./Islak Mendil Hediyeli Combo;2;0
İsa Camgöz;ECZANE IST AND 1;DİLARA BAĞCIOĞLU;Selçuk;Ümraniye;8680001547166;Kozyatağı;Kadıköy;İstanbul;8699546358786;Bepanthol Derma Nem & Besleyici SPF 25 Güneş Koruyuculu Günlük Yüz Bakım Kr 50ML;2;0
İsa Camgöz;ECZANE IST AND 1;DİLARA BAĞCIOĞLU;Selçuk;Ümraniye;8680001547166;Kozyatağı;Kadıköy;İstanbul;8699546485246;Bepanthol Derma Temel Nemlendirici Günlük Vücut Losyonu 200 ml ;2;0
İsa Camgöz;ECZANE IST AND 1;DİLARA BAĞCIOĞLU;Selçuk;Ümraniye;8680001547166;Kozyatağı;Kadıköy;İstanbul;8699546485253;Bepanthol Derma Yoğun Nemlendirici Günlük Vücut Losyonu 200 ml ;2;0
İsa Camgöz;ECZANE IST AND 1;DİLARA BAĞCIOĞLU;Selçuk;Ümraniye;8680001547166;Kozyatağı;Kadıköy;İstanbul;8699546485260;Bepanthol Derma Temel Nemlendirici Günlük Vücut Losyonu 400ml TR;2;0
İsa Camgöz;ECZANE IST AND 1;DİLARA BAĞCIOĞLU;Selçuk;Ümraniye;8680001547166;Kozyatağı;Kadıköy;İstanbul;8699546485277;Bepanthol Derma Yoğun Nemlendirici Günlük Vücut Losyonu 400ml TR ;2;0
İsa Camgöz;ECZANE IST AND 1;DİLARA BAĞCIOĞLU;Selçuk;Ümraniye;8680001547166;Kozyatağı;Kadıköy;İstanbul;8699546340071;Bepanthol Derma Arındırıcı & Canlandırıcı Günlük Yüz Temizleme Jeli 200ML;2;0
İsa Camgöz;ECZANE IST AND 1;DİLARA BAĞCIOĞLU;Selçuk;Ümraniye;8680001547166;Kozyatağı;Kadıköy;İstanbul;8699546370580;Bepanthol Onarıcı Bakım Merhemi 30gr.;60;6
İsa Camgöz;ECZANE IST AND 1;DİLARA BAĞCIOĞLU;Selçuk;Ümraniye;8680001547166;Kozyatağı;Kadıköy;İstanbul;8699546630004;Bepanthol Lipstick Güneş Koruyucu Dudak Bakım Kremi 4,5 gr.;15;2
İsa Camgöz;ECZANE IST AND 1;DİLARA BAĞCIOĞLU;Selçuk;Ümraniye;8680001547166;Kozyatağı;Kadıköy;İstanbul;8699546370399;Bepanthol Baby Pişik Önleyici Merhem 30gr.;15;1
İsa Camgöz;ECZANE IST AND 1;DİLARA BAĞCIOĞLU;Selçuk;Ümraniye;8680001547166;Kozyatağı;Kadıköy;İstanbul;8699546358700;Bepanthol SensiDaily 400ml Vücut Kremi (Pompalı);10;1
İsa Camgöz;ECZANE IST AND 1;DİLARA BAĞCIOĞLU;Selçuk;Ümraniye;8680001547166;Kozyatağı;Kadıköy;İstanbul;8699546350230;BepantholSensiderm Kaşıntı Giderici Krem 50g.;10;1
