TİCARİ BM;BÖLGE;ÜTE;DEPO GRUBU;DEPO ŞUBESİ;GLN;ECZANE ADI;İLÇE;İL;BARKOD;ÜRÜN ADI;ADET;MF
İsa Camgöz;ECZANE IST AND 1;DİLARA BAĞCIOĞLU;Selçuk;Ümraniye;8680001601202;İrem;Kadıköy;İstanbul;8699546358625;Bepanthol Cilt Bakım Kremi 30gr.;15;1
İsa Camgöz;ECZANE IST AND 1;DİLARA BAĞCIOĞLU;Selçuk;Ümraniye;8680001286171;Nazlı;Kadıköy;İstanbul;8699546358625;Bepanthol Cilt Bakım Kremi 30gr.;15;1
İsa Camgöz;ECZANE IST AND 1;DİLARA BAĞCIOĞLU;Selçuk;Ümraniye;8680001286171;Nazlı;Kadıköy;İstanbul;8699546020447;Redoxon 3'lü Etki 15 Efervesan Tablet;12;1
