TİCARİ BM;BÖLGE;ÜTE;DEPO GRUBU;DEPO ŞUBESİ;GLN;ECZANE ADI;İLÇE;İL;BARKOD;ÜRÜN ADI;ADET;MF
İsa Camgöz;ECZANE IST AND 1;DİLARA BAĞCIOĞLU;AH MARMARA;Pendik;8680001599776;Erenköy pınar;Kadıköy;İstanbul;8699546485260;Bepanthol Derma Temel Nemlendirici Günlük Vücut Losyonu 400ml TR;2;0
İsa Camgöz;ECZANE IST AND 1;DİLARA BAĞCIOĞLU;AH MARMARA;Pendik;8680001599776;Erenköy pınar;Kadıköy;İstanbul;8699546485253;Bepanthol Derma Yoğun Nemlendirici Günlük Vücut Losyonu 200 ml ;2;0
İsa Camgöz;ECZANE IST AND 1;DİLARA BAĞCIOĞLU;AH MARMARA;Pendik;8680001599776;Erenköy pınar;Kadıköy;İstanbul;8699546485277;Bepanthol Derma Yoğun Nemlendirici Günlük Vücut Losyonu 400ml TR ;2;0
İsa Camgöz;ECZANE IST AND 1;DİLARA BAĞCIOĞLU;AH MARMARA;Pendik;8680001599776;Erenköy pınar;Kadıköy;İstanbul;8699546358823;Bepanthol SensiDaily Vücut Kremi 200ml;3;0
İsa Camgöz;ECZANE IST AND 1;DİLARA BAĞCIOĞLU;AH MARMARA;Pendik;8680001599776;Erenköy pınar;Kadıköy;İstanbul;8699546358700;Bepanthol SensiDaily 400ml Vücut Kremi (Pompalı);3;0
İsa Camgöz;ECZANE IST AND 1;DİLARA BAĞCIOĞLU;AH MARMARA;Pendik;8680001599776;Erenköy pınar;Kadıköy;İstanbul;8699546090396;Supradyn CoQ10 FCT 30 Film Kaplı Tablet;10;1
İsa Camgöz;ECZANE IST AND 1;DİLARA BAĞCIOĞLU;AH MARMARA;Pendik;8680001599776;Erenköy pınar;Kadıköy;İstanbul;8699546094134;Supradyn Focus TAFI BT 30 TR;5;0
İsa Camgöz;ECZANE IST AND 1;DİLARA BAĞCIOĞLU;AH MARMARA;Pendik;8680001599776;Erenköy pınar;Kadıköy;İstanbul;8699546650064;Aspinatura Lemon-Mint SPRA PUB 20ml TR;7;1
İsa Camgöz;ECZANE IST AND 1;DİLARA BAĞCIOĞLU;AH MARMARA;Pendik;8680001599776;Erenköy pınar;Kadıköy;İstanbul;8699546540020;ASPI NATURA İzotonik Burun Spreyi 3,5% SPH 20 ML TR;2;0
İsa Camgöz;ECZANE IST AND 1;DİLARA BAĞCIOĞLU;AH MARMARA;Pendik;8680001599776;Erenköy pınar;Kadıköy;İstanbul;8699546080045;Redoxon Kids 60;12;1
İsa Camgöz;ECZANE IST AND 1;DİLARA BAĞCIOĞLU;AH MARMARA;Pendik;8680001599776;Erenköy pınar;Kadıköy;İstanbul;8699546020386;Supradyn 30 Effervesan Tablet ;3;0
İsa Camgöz;ECZANE IST AND 1;DİLARA BAĞCIOĞLU;Selçuk;Ümraniye;8680001537334;Hekimoğlu;Kadıköy;İstanbul;8699546370382;Bepanthol Baby Pişik Önleyici Merhem 100gr.;15;1
İsa Camgöz;ECZANE IST AND 1;DİLARA BAĞCIOĞLU;Selçuk;Ümraniye;8680001537334;Hekimoğlu;Kadıköy;İstanbul;8699546358625;Bepanthol Cilt Bakım Kremi 30gr.;60;6
İsa Camgöz;ECZANE IST AND 1;DİLARA BAĞCIOĞLU;Selçuk;Ümraniye;8680001537334;Hekimoğlu;Kadıköy;İstanbul;8699546370580;Bepanthol Onarıcı Bakım Merhemi 30gr.;60;6
İsa Camgöz;ECZANE IST AND 1;DİLARA BAĞCIOĞLU;Selçuk;Ümraniye;8680001537334;Hekimoğlu;Kadıköy;İstanbul;8699546370412;Bepanthol Onarıcı Bakım Merhemi 50gr.;60;6
İsa Camgöz;ECZANE IST AND 1;DİLARA BAĞCIOĞLU;Selçuk;Ümraniye;8680001537334;Hekimoğlu;Kadıköy;İstanbul;8699546358632;Bepanthol Cilt Bakım Kremi 100gr.;60;6
İsa Camgöz;ECZANE IST AND 1;DİLARA BAĞCIOĞLU;Selçuk;Ümraniye;8680001537334;Hekimoğlu;Kadıköy;İstanbul;8699546020461;Redoxon Essential 1000mg TAEF TUBE 15 TR;35;6
İsa Camgöz;ECZANE IST AND 1;DİLARA BAĞCIOĞLU;Selçuk;Ümraniye;8680001678419;Maya;Kadıköy;İstanbul;8699546650064;Aspinatura Lemon-Mint SPRA PUB 20ml TR;7;1
İsa Camgöz;ECZANE IST AND 1;DİLARA BAĞCIOĞLU;Selçuk;Ümraniye;8680001678419;Maya;Kadıköy;İstanbul;8699546370580;Bepanthol Onarıcı Bakım Merhemi 30gr.;30;2
İsa Camgöz;ECZANE IST AND 1;DİLARA BAĞCIOĞLU;Selçuk;Ümraniye;8680001678419;Maya;Kadıköy;İstanbul;8699546370412;Bepanthol Onarıcı Bakım Merhemi 50gr.;15;1
İsa Camgöz;ECZANE IST AND 1;DİLARA BAĞCIOĞLU;Selçuk;Ümraniye;8680001678419;Maya;Kadıköy;İstanbul;8699546358830;Bepanthol Derma Nemlendirici & Besleyici Günlük Yüz Bakım Kremi ;2;0
