TİCARİ BM;BÖLGE;ÜTE;DEPO GRUBU;DEPO ŞUBESİ;GLN;ECZANE ADI;İLÇE;İL;BARKOD;ÜRÜN ADI;ADET;MF
İsa Camgöz;ECZANE IST AND 1;DİLARA BAĞCIOĞLU;SELÇUK;ümraniye;8680001296552;Tanyer;Kadıköy;İstanbul;8699546630004;Bepanthol Lipstick Güneş Koruyucu Dudak Bakım Kremi 4,5 gr.;10;1
İsa Camgöz;ECZANE IST AND 1;DİLARA BAĞCIOĞLU;as sancaktepe;sancaktepe;86800014966310;Lagün;kadıköy;istanbul;8699546094134;Supradyn Focus TAFI BT 30 TR;30;3
İsa Camgöz;ECZANE IST AND 1;DİLARA BAĞCIOĞLU;as sancaktepe;sancaktepe;86800014966310;lagün;kadıköy;istanbul;8699546630004;Bepanthol Lipstick Güneş Koruyucu Dudak Bakım Kremi 4,5 gr.;15;2
İsa Camgöz;ECZANE IST AND 1;DİLARA BAĞCIOĞLU;selçuk;ümraniye;8680001290918;aynur;kadıköy;istanbul;8699546358625;Bepanthol Cilt Bakım Kremi 30gr.;15;1
İsa Camgöz;ECZANE IST AND 1;DİLARA BAĞCIOĞLU;selçuk;ümraniye;8680001290918;aynur;kadıköy;istanbul;8699546020454;Redoxon 3'lü Etki 30 Efervesan Tablet;24;2
İsa Camgöz;ECZANE IST AND 1;DİLARA BAĞCIOĞLU;selçuk;ümraniye;8680001381289;caddebostan plus;kadıköy;istanbul;8699546080045;Redoxon Kids 60;60;8
İsa Camgöz;ECZANE IST AND 1;DİLARA BAĞCIOĞLU;Ah marmara;pendik;8680001661466;bilen;kadıköy;istanbul;8699546080045;Redoxon Kids 60;60;8
İsa Camgöz;ECZANE IST AND 1;DİLARA BAĞCIOĞLU;SELÇUK;ümraniye;8680001569229;cankız;kadıköy;istanbul;8699546080045;Redoxon Kids 60;12;1
