BARKOD_GUNCEL;GLN_GUNCEL;ADET;MF
8699546650057;8680001486199;2;0
8699546650057;8680001203123;2;0
8699546650057;8680001640232;1;0
8699546650057;8680001503155;1;0
8699546650057;8680001488612;1;0
8699546650057;8680001673407;20;5
8699546650057;8680001673407;20;5
8699546650057;8680001515479;1;0
8699546650057;8680001183586;2;0
8699546650057;8680001677238;1;0
8699546650057;8680001212644;7;1
8699546650057;8680001234615;1;0
8699546650057;8680001495054;7;1
8699546650057;8680001210633;7;1
8699546650057;8680001626564;7;1
8699546650057;8680001439904;7;1
8699546650057;8680001561988;7;1
8699546650057;8680001236343;1;0
8699546650057;8680001224753;14;2
8699546650057;8680001621835;7;1
8699546650057;8680001558438;1;0
8699546650057;8680001484805;1;0
8699546650057;8680001189816;7;1
8699546650057;8680001179114;1;0
8699546650057;8680001524211;1;0
8699546650057;8680001278381;2;0
8699546650057;8680001622467;7;1
8699546650057;8680001622818;40;10
8699546650057;8680001204298;1;0
8699546650057;8680001554157;7;1
8699546650057;8680001296552;7;1
8699546650057;8680001645442;7;1
8699546650064;8680001189816;2;0
8699546650064;8680001228614;1;0
8699546650064;8680001481583;1;0
8699546650064;8680001245475;1;0
8699546650064;8680001625413;4;0
8699546650064;8680001515097;1;0
8699546650064;8680001672844;1;0
8699546650064;8680001626564;7;1
8699546650064;8680001488612;1;0
8699546650064;8680001286737;1;0
8699546650064;8680001290963;3;0
8699546650064;8680001278473;1;0
8699546650064;8680001212569;40;10
8699546650064;8680001177530;1;0
8699546650064;8680001623082;1;0
8699546650064;8680001494675;1;0
8699546650064;8680001550289;1;0
8699546650064;8680001224753;7;1
8699546650064;8680001297450;1;0
8699546650064;8680001223862;1;0
8699546650064;8680001453221;2;0
8699546650064;8680001240944;7;1
8699546650064;8680001472116;1;0
8699546650064;8680001673407;40;10
8699546650064;8680001234615;1;0
8699546650064;8680001510658;1;0
8699546650064;8680001621835;7;1
8699546650064;8680001210633;7;1
8699546650064;8680001397570;7;1
8699546650064;8680001232826;1;0
8699546650064;8680001224753;14;2
8699546650064;8680001622467;7;1
8699546650064;8680001624331;7;1
8699546650064;8680001622818;40;10
8699546650064;8680001496310;7;1
8699546650064;8680001212057;1;0
8699546540020;8680001513659;2;0
8699546540020;8680001673407;2;0
8699546540020;8680001183586;2;0
8699546540020;8680001513659;2;0
8699546540020;8680001513659;1;0
8699546540020;8680001173914;3;0
8699546540020;8680001288618;2;0
8699546540020;8680001249633;7;1
8699546540020;8680001554157;1;0
8699546540020;8680001351244;1;0
8699546540020;8680001541249;1;0
8699546540020;8680001212569;7;1
8699546540020;8680001658053;1;0
8699546540020;8680001494675;1;0
8699546540020;8680001673407;40;10
8699546540020;8680001554157;2;0
8699546540020;8680001463343;2;0
8699546540020;8680001253371;1;0
8699546540020;8680001572762;7;1
8699546540020;8680001274703;7;1
8699546540020;8680001287611;7;1
8699546540020;8680001534036;1;0
8699546540020;8680001278473;1;0
8699546540020;8680001224753;14;2
8699546540020;8680001213719;1;0
8699546540020;8680001259632;1;0
8699546540020;8680001622467;7;1
8699546540020;8680001622818;40;10
8699546540020;8680001534036;7;1
8699546540020;8680001333837;7;1
8699546578078;8680001253371;1;0
8699546578078;8680001285082;1;0
8699546578078;8680001466788;7;1
8699546578078;8680001626564;7;1
8699546578078;8680001189816;2;0
8699546578078;8680001625413;2;0
8699546578078;8680001237890;1;0
8699546578078;8680001488612;1;0
8699546578078;8680001548293;1;0
8699546578078;8680001475667;1;0
8699546578078;8680001462421;7;1
8699546578078;8680001645442;2;0
8699546578078;8680001629428;1;0
8699546578078;8680001225347;1;0
8699546578078;8680001225347;2;0
8699546578078;8680001481880;2;0
8699546578078;8680001281589;1;0
8699546578078;8680001661091;1;0
8699546578078;8680001504398;40;10
8699546578078;8680001466047;2;0
8699546578078;8680001679898;1;0
8699546578078;8680001602254;7;1
8699546578078;8680001679898;7;1
8699546578078;8680001495054;1;0
8699546578078;8680001254538;1;0
8699546578078;8680001510658;7;1
8699546578078;8680001473373;1;0
8699546578078;8680001225330;7;1
8699546578078;8680001463343;7;1
8699546578078;8680001236961;2;0
8699546578078;8680001484805;2;0
8699546578078;8680001516711;1;0
8699546578078;8680001617845;4;0
8699546578078;8680001445172;4;0
8699546578078;8680001351244;1;0
8699546578078;8680001640232;2;0
8699546578085;8680001427772;3;0
8699546578085;8680001466788;7;1
8699546578085;8680001237890;1;0
8699546578085;8680001524211;1;0
8699546578085;8680001488612;1;0
8699546578085;8680001234080;1;0
8699546578085;8680001212736;1;0
8699546578085;8680001267064;1;0
8699546578085;8680001285082;1;0
8699546578085;8680001260065;1;0
8699546578085;8680001661091;1;0
8699546578085;8680001504398;40;10
8699546578085;8680001296019;1;0
8699546578085;8680001495054;3;0
8699546578085;8680001212569;40;10
8699546578085;8680001232338;1;0
8699546578085;8680001673407;40;10
8699546578085;8680001651894;1;0
8699546578085;8680001527076;7;1
8699546578085;8680001245291;7;1
8699546578085;8680001465835;1;0
8699546578085;8680001224753;40;10
8699546578085;8680001221882;1;0
8699546578085;8680001659012;2;0
8699546578085;8680001297450;1;0
8699546578085;8680001234080;1;0
8699546578085;8680001549610;7;1
8699546578085;8680001212569;40;10
8699546578085;8680001661091;1;0
8699546578085;8680001572762;7;1
8699546578085;8680001189304;7;1
8699546578085;8680001457472;1;0
8699546578085;8680001605583;3;0
8699546578085;8680001696536;1;0
8699546578085;8680001266968;1;0
8699546578085;8680001170104;2;0
8699546578085;8680001531011;40;10
8699546578085;8680001254538;1;0
8699546578085;8680001254538;1;0
8699546578085;8680001622467;7;1
8699546578085;8680001254538;1;0
8699546578085;8680001678297;7;1
8699546578085;8680001249633;7;1
8699546578085;8680001496310;7;1
8699546578085;8680001167760;2;0
8699546578085;8680001296552;7;1
8699546578085;8680001661091;7;1
8699546578085;8680001440368;2;0
8699546578085;8680001202522;7;1
8699546578108;8680001260485;2;0
8699546578108;8680001632817;2;0
8699546578108;8680001510658;1;0
8699546578108;8680001558438;1;0
8699546578108;8680001463343;2;0
8699546578108;8680001495054;2;0
8699546578108;8680001673407;40;10
8699546578108;8680001646968;7;1
8699546578108;8680001224753;40;10
8699546578108;8680001484805;1;0
8699546578108;8680001486564;1;0
8699546578108;8680001296552;1;0
8699546578108;8680001661091;7;1
8699546578108;8680001253357;1;0
8699546578092;8680001527076;1;0
8699546578092;8680001510658;1;0
8699546578092;8680001673407;40;10
8699546578092;8680001376919;14;2
8699546578092;8680001659012;1;0
8699546578092;8680001266968;1;0
8699546578092;8680001170104;1;0
8699546578092;8680001484805;1;0
8699546578092;8680001170104;1;0
8699546578092;8680001368655;1;0
8699546578092;8680001296552;1;0
8699546340057;8680001259632;2;0
8699546340057;8680001219803;1;0
8699546340057;8680001622818;1;0
8699546340057;8680001661091;1;0
8699546340057;8680001326426;10;1
8699546340057;8680001217953;1;0
8699546340057;8680001673407;30;3
8699546340057;8680001425372;10;1
8699546340057;8680001425372;10;1
8699546340057;8680001506101;2;0
8699546340057;8680001506101;2;0
8699546340057;8680001253388;1;0
8699546340057;8680001183005;1;0
8699546340057;8680001425372;20;2
8699546340057;8680001466788;2;0
8699546340057;8680001572762;10;1
8699546340057;8680001622818;1;0
8699546340057;8680001210633;10;1
8699546340057;8680001510658;10;1
8699546340057;8680001497867;10;1
8699546340057;8680001249633;10;1
8699546340057;8680001249633;10;1
8699546340057;8680001287949;1;0
8699546340057;8680001351244;1;0
8699546340057;8680001548293;1;0
8699546340057;8680001235087;1;0
8699546340057;8680001249633;20;2
8699546340057;8680001224753;20;2
8699546340057;8680001534036;20;2
8699546370382;8680001486199;2;0
8699546370382;8680001218646;1;0
8699546370382;8680001487363;3;0
8699546370382;8680001424023;240;16
8699546370382;8680001424023;30;2
8699546370382;8680001198115;12;0
8699546370382;8680001245147;5;0
8699546370382;8680001424023;90;6
8699546370382;8680001266982;1;0
8699546370382;8680001234615;1;0
8699546370382;8680001628360;1;0
8699546370382;8680001173914;2;0
8699546370382;8680001415731;1;0
8699546370382;8680001234080;1;0
8699546370382;8680001202652;2;0
8699546370382;8680001187331;1;0
8699546370382;8680001404773;3;0
8699546370382;8680001270972;1;0
8699546370382;8680001203369;1;0
8699546370382;8680001272648;1;0
8699546370382;8680001507245;1;0
8699546370382;8680001500901;2;0
8699546370382;8680001441112;2;0
8699546370382;8680001673407;60;6
8699546370382;8680001503513;2;0
8699546370382;8680001175604;1;0
8699546370382;8680001442393;3;0
8699546370382;8680001424023;90;6
8699546370382;8680001638284;3;0
