BARKOD_GUNCEL;GLN_GUNCEL;ADET;MF
8699546370382;8680001250554;15;1
8699546370382;8680001254538;1;0
8699546370382;8680001507245;3;0
8699546370382;8680001212569;120;12
8699546370382;8680001183005;120;12
8699546370382;8680001424023;600;40
8699546370382;8680001424023;150;10
8699546370382;8680001662395;1;0
8699546370382;8680001626564;1;0
8699546370382;8680001227181;1;0
8699546370382;8680001662395;1;0
8699546370382;8680001264315;2;0
8699546370382;8680001621835;15;1
8699546370382;8680001210633;15;1
8699546370382;8680001696536;15;1
8699546370382;8680001274802;1;0
8699546370382;8680001425372;180;18
8699546370382;8680001249633;15;1
8699546370382;8680001424023;75;5
8699546370382;8680001424023;150;10
8699546370382;8680001424023;75;5
8699546370382;8680001241408;1;0
8699546370382;8680001199693;1;0
8699546370382;8680001298273;1;0
8699546370382;8680001572571;1;0
8699546370382;8680001225347;1;0
8699546370382;8680001189816;15;1
8699546370382;8680001210817;2;0
8699546370382;8680001624331;5;0
8699546370382;8680001236343;1;0
8699546370382;8680001202713;2;0
8699546370382;8680001174690;1;0
8699546370382;8680001225729;2;0
8699546370382;8680001217410;120;12
8699546370382;8680001534036;15;1
8699546370382;8680001645442;2;0
8699546370399;8680001217410;300;20
8699546370399;8680001217410;150;10
8699546370399;8680001189397;15;1
8699546370399;8680001231041;1;0
8699546370399;8680001424023;90;6
8699546370399;8680001424023;180;12
8699546370399;8680001198115;15;1
8699546370399;8680001424023;390;26
8699546370399;8680001198115;3;0
8699546370399;8680001407620;8;0
8699546370399;8680001334506;5;0
8699546370399;8680001215447;1;0
8699546370399;8680001472048;6;0
8699546370399;8680001661091;15;1
8699546370399;8680001212569;120;12
8699546370399;8680001217410;300;50
8699546370399;8680001183005;120;12
8699546370399;8680001266944;3;0
8699546370399;8680001673407;60;6
8699546370399;8680001224753;120;12
8699546370399;8680001509287;60;4
8699546370399;8680001333875;15;1
8699546370399;8680001597178;15;1
8699546370399;8680001212736;15;1
8699546370399;8680001174171;2;0
8699546370399;8680001504398;60;10
8699546370399;8680001212569;120;12
8699546370399;8680001187331;15;1
8699546370399;8680001424023;750;50
8699546370399;8680001227181;2;0
8699546370399;8680001275151;2;0
8699546370399;8680001264315;15;1
8699546370399;8680001454129;100;10
8699546370399;8680001274703;15;1
8699546370399;8680001421534;15;1
8699546370399;8680001235407;60;6
8699546370399;8680001418015;60;6
8699546370399;8680001189816;30;2
8699546370399;8680001266982;15;1
8699546370399;8680001621835;15;1
8699546370399;8680001210633;60;6
8699546370399;8680001558438;15;1
8699546370399;8680001649785;15;1
8699546370399;8680001625086;15;1
8699546370399;8680001232338;15;1
8699546370399;8680001170104;15;1
8699546370399;8680001425372;300;30
8699546370399;8680001201761;1;0
8699546370399;8680001247646;3;0
8699546370399;8680001249633;60;6
8699546370399;8680001658763;15;1
8699546370399;8680001424023;150;10
8699546370399;8680001424023;450;30
8699546370399;8680001424023;150;10
8699546370399;8680001424023;150;10
8699546370399;8680001202119;3;0
8699546370399;8680001572571;15;1
8699546370399;8680001226771;1;0
8699546370399;8680001457472;15;1
8699546370399;8680001635047;45;3
8699546370399;8680001210817;5;0
8699546370399;8680001238484;15;1
8699546370399;8680001509287;15;1
8699546370399;8680001455065;30;2
8699546370399;8680001660643;3;0
8699546370399;8680001298419;15;1
8699546370399;8680001537099;60;6
8699546370399;8680001374779;15;1
8699546370399;8680001635047;30;2
8699546370399;8680001678297;15;1
8699546370399;8680001248322;1;0
8699546370399;8680001213672;15;1
8699546370399;8680001215447;1;0
8699546370399;8680001474332;15;1
8699546370399;8680001647316;3;0
8699546370399;8680001600519;15;1
8699546370399;8680001241378;15;1
8699546370399;8680001534036;60;6
8699546370399;8680001275151;1;0
8699546370399;8680001178506;2;0
8699546370399;8680001219001;15;1
8699546370399;8680001296552;30;2
8699546370399;8680001548293;15;1
8699546370429;8680001212736;5;0
8699546370429;8680001266982;2;0
8699546370429;8680001625413;2;0
8699546370429;8680001484805;1;0
8699546370429;8680001215447;1;0
8699546370429;8680001220250;2;0
8699546370429;8680001464562;1;0
8699546370429;8680001503513;2;0
